 19647	Let 's face it , promotion at the World Bank comes from spending money , '' said John Githongo , a onetime campaigner against corruption in Kenya who has fled to safety in Britain and is now an adviser to Mr. Wolfowitz . ''	is an adviser to	a onetime campaigner against corruption in Kenya	Mr. Wolfowitz	1	1			
 20397	Which joke is more appropriate for this particular person ? '	is appropriate for	Which joke	this particular person	1	1			
 39080	RU-486 is being administered in France only under strict supervision in the presence of a doctor .	is being administered	RU-486	only under strict supervision	in France	1	1		
  3972	Regret is not enough , '' said Claire Chen , a senior at the Hainan University law school here , not far from where the plane 's 24 Americans are being held .	is a senior at	Claire Chen	the Hainan University law school here	1	1			
 31699	I found myself giving a basic astronomy lesson to a surprising number of people , including the guy who turned to his children and seriously told them 	turned to	the guy	his children	1	1			
 23448	Mr. Cheney , now the vice president , said in a speech on Wednesday that Mr. Kerry 's record '' has given us ample doubts about his judgment and the attitude he brings to bear on vital issues of national security . ''	is	Kerry	male	1	1			
 15206	Meanwhile , the truth - that in most families where child abuse -LRB- sexual or otherwise -RRB- takes place , women are also victimized , either through dominance and control or actual violence - that reality is smokescreened , and the problem of the powerful abusing their power is perpetuated .	is perpetuated	the problem of the powerful abusing their power		1	1			
 34440	An avid cook and frequent entertainer -- his deck was made for cocktails -- Mr. Black finally paid a friend to rig up two huge $ 12 paper lanterns on bamboo poles .	frequent entertainer paid up finally	Mr. Black	a friend	1	1			
 31834	Military Has Upper Hand Gay-rights advocates are `` taking on the toughest area of the law , '' Professor Sunstein said .	Has Upper Hand	Military	Gay-rights advocates	1	1			
 32040	Mr. Blanc is best known as a comic actor - he was hilarious as the bewildered object of Gerard Depardieu 's affections in Bertrand Blier 's '' Menage . ''	is known as	Mr. Blanc	a comic actor	1	1			
 32587	These screening activities include : review of group-based data ; hearing , vision , motor , and speech/language screening ; and review by the Special Education administration .	include	These screening activities	review of group-based data	1	1			
 34987	Silver fell 18.7 cents to 20.7 cents , with December settling at $ 5.693 an ounce .	fell QUANT_R_1 cents to QUANT_O_1 cents settling at	Silver	$ QUANT_O_2 an ounce	1	1			
   259	The cup holders -- the front two slide out of the bottom of the dash , while those for rear-seat passengers are built into the back of the center console -- are pathetic .	are built into the back of	those for rear-seat passengers	the center console	1	1			
 16362	Mr. Biden , the committee chairman , observed of Mr. Bell and Justice Brandeis 	is	Biden	male	1	1			
 27325	Cold fusion , Dr. Pons and Dr. Fleischmann said , can be initiated in a cell containing heavy water , in whose molecules the heavy form of hydrogen called deuterium is substituted for ordinary hydrogen .	is	Pons	Dr.	1	1			
 24863	Western Union has had major losses in recent years as its telex business has faltered in the face of competition from facsimile machines and as other business ventures have gone awry .	has competition from	Western Union's telex business	facsimile machines	in recent years	1	1		
 28656	The show starts at precisely 11:59 P.M. at the northern end of the Long Meadow in Prospect Park , near Grand Army Plaza .	starts at precisely 11:59 P.M. near	The show	Grand Army Plaza	1	1			
28415651	In conclusion , DM might increase the risk of gastric cancer in men when the study used standard incidence / mortality ratio as effect estimate.	used	the study	standard incidence / mortality ratio	as effect estimate	1	1		
24384911	There is a bidirectional interaction between the AR and micro-RNA ( miRNA ) in prostate cancer ; androgens may upregulate or downregulate the selected miRNA , whereas the AR itself is a target of miRNA.	is	the AR	a target of miRNA	1	1			
 15629	The funeral service will be held on Friday , June 8 , 2001 at 11:30 AM at Frank E. Campbell , 1076 Madison Ave. , -LRB- 81st Street -RRB- .	be held on	The funeral service	Friday	1	1			
17659065	Objective : We sought to examine prospectively patterns of clinical and psychosocial outcomes during the transition from adolescence to young adulthood in a cohort initiating intensive therapy after the Diabetes Control and Complications Trial.	initiating	a cohort	intensive therapy	after the Diabetes	1	1		
30556868	MicroRNA - 34a can be used as an important biomarker of gastric cancer progression and prognosis.	can be used	MicroRNA - 34a	as an important biomarker of gastric cancer prognosis	1	1			
27159875	Both biological and psychosocial factors are responsible for sex and gender differences in diabetes risk and outcome.	are	psychosocial factors	responsible for gender differences in outcome	1	1			
 26792	Silver inventories in Comex warehouses rose 454,000 ounces to 141.118 million ounces , the exchanges said in its daily stockpile report after trading yesterday , up from a 10-month low of 140.664 million ounces .	said	the exchanges	Silver inventories in Comex warehouses rose 454,000 ounces to 141.118 million ounces	1	1			
  1318	Dinner at the U.N. Oct. 15 The annual benefit for the Hospitality Committee for United Nations Delegations will start with cocktails and dinner at 5:30 P.M. and continue to 7:15 in the Delegates ' Dining Room at the United Nations .	start with dinner at	Dinner at the U.N. for the Hospitality Committee for United Nations Delegations	5:30 P.M.	1	1			
 15954	Buchanan was able to enthuse his ground troops . ''	was	Buchanan	able to enthuse his ground troops	1	1			
 35191	-LRB- Preview audiences found him so likable in that role that instead of being eaten by the shark as originally planned , his character was saved at the end and someone else was eaten . -RRB-	was saved that role at	his character	the end	1	1			
30374010	Endocrine therapy is effective in most prostate cancers , but as treatment continues , most patients eventually experience resistant to endocrine therapy and disease progression.	experience	most patients	resistant to endocrine therapy	eventually	1	1		
 23009	David Johansen 's latest genre excursion heads for the recorded roots of American music : the blues , ballads , country and gospel songs , full of murder and adultery and hope for redemption , that were collected by Harry Smith for his Anthology of American Folk Music , a foundation of the 1950 's folk revival .	were collected by Harry Smith for	country	his Anthology of American Folk Music	1	1			
 34949	Mayor Rudolph W. Giuliani named a commission yesterday to review and recommend changes in the salaries for himself and the city 's other top elected officials .	is	Rudolph W. Giuliani	Mayor	1	1			
 20523	Mrs. Siskopoulos , 60 , worked as a secretary for Keefe , Bruyette & Woods .	worked as a secretary for	Mrs. Siskopoulos QUANT_S_1	Bruyette	1	1			
 23832	Stu Smiley , the festival 's executive director , one of its founders and an executive producer on the CBS hit comedy '' Everybody Loves Raymond , '' said that as many as 1,100 people come to the festival , mostly from New York and Los Angeles .	come to the festival mostly from	QUANT_S_2 people	New York	1	1			
 19409	The militants insist that Mr. Arafat is their leader and that the actions are directed against corrupt Palestinian officials , not Mr. Arafat .	is	Mr. Arafat	their leader	1	1			
  9540	The so-called Golden Triangle for Japanese tourists , Mr. Murakami added , used to be Los Angeles , San Francisco and Las Vegas . ''	used to be	Mr. Murakami	Las Vegas	1	1			
30045024	Key Messages : Large public health studies are needed to estimate the prevalence of all forms of CD in T1DM patients.	are needed	Large public health studies	to estimate the prevalence of all forms of CD in T1DM patients	1	1			
12517539	Someone who has smoked all their life has a lung - cancer risk 20 - 30 times greater than a non-smoker.	has	Someone who has smoked all their life	a lung - cancer risk 20 - 30 times greater than a non-smoker	1	1			
  5346	There is widespread speculation among gambling analysts , Sullivan County officials and some dissident Mohawks that Arthur M. Goldberg , chief executive of Park Place , is intent on delaying and derailing a Sullivan County casino to protect his Atlantic City casinos , which generate 30 percent of the company 's profits .	is	Arthur M. Goldberg	intent QUANT_O_1 dissident Mohawks	1	1			
16555440	Seen before as a secondary branch in the field of surgery , the surgery of breast cancer is now a fully stand - alone specialty.	is	the surgery of breast cancer	now	a fully stand - alone specialty	1	1		
  6708	And when the kid holed his birdie putt for a 69 , another ovation rumbled across Augusta National .	holed his birdie putt for	the kid	a QUANT_O_1	1	1			
27879495	Among 27 178 men , 1690 prostate cancer cases were identified through 2012.	were identified Among	1690 prostate cancer cases	27 178 men	1	1			
 23355	But JOE TORRE guessed that Cone would probably return against the Orioles in a four-game series that begins next Thursday . ''	begins	a four-game series	next Thursday	1	1			
 14575	If a more genuine burgundy is crucial to your color scheme , it would be better to plant a Royal Purple smoke tree -LRB- Cotinus coggygria -RRB- .	is	a Royal Purple smoke tree	Cotinus coggygria	1	1			
 37839	Some of the best moments are only distantly related blackout sketches , including one about a father who urges his children , '' Keep on eating !	are only distantly related blackout sketches including QUANT_O_1 about	QUANT_S_1 of the best moments	a father	1	1			
11800065	Awareness of risk factors for developing type 2 diabetes will promote screening , early detection , and treatment in high - risk populations with the goal of decreasing both microvascular and macrovascular complications.	will promote	Awareness of risk factors for developing type 2 diabetes	early detection	1	1			
 35602	The secretary/music director for the church, Anne (Susan Clark), is wary of changes for the congregation intended by Hill.	is	The secretary\/music director for the church	Anne	1	1			
27557670	Nucleic acid - based drugs ( NABDs ) are a novel class of pharmaceuticals including antisense oligonucleotides , DNA - zymes , and RNA interference as mediated by small interfering RNA ( siRNA ) , which are used to dampen the expression of disease - causing genes having therapeutic potential for controlling chronic airway diseases.	are used	interfering RNA	to dampen the expression of disease - causing genes	1	1			
 38807	His wife Cynthia , sons Larry and Michael , daughterin-law Devra , grandchildren Jon and Susan , sister Muncie Hendler , in-laws Karen and Paul Guinzburg , had a long list of those who loved him dearly .	is	grandchildren Jon	His wife	1	1			
 24822	Standard & Poor 's Corporation stunned the municipal bond market last week by lowering its ratings on debt securities issued by the State of California by two notches , to A + from AA .	stunned the municipal bond market	Standard & Poor 's Corporation	last week	1	1			
23817677	The extent of exposure to tobacco and biomass fuel smoke was largely determined by their cultural tradition and gender , tribal origin and socioeconomic factors.	was determined	The extent of exposure to tobacco fuel smoke	by their socioeconomic factors	1	1			
  2168	On Friday Mayor David N. Dinkins announced a $ 51 million restoration plan that will include replanting the Great Lawn , a 1930 's addition to the grand plan of Frederick Law Olmsted .	is	replanting the Great Lawn	a 1930 's addition to the grand plan of Frederick Law Olmsted	1	1			
10492269	Six months after discharge , improvements in PaO2 / FIO2 ( 317 + / - 10 vs 283 + / - 13 ; p = 0.05 ) , PaCO2 ( 52 + / - 2 vs 67 + / - 3 mm Hg ; p = 0.0001 ) , and functional score ( 5.66 + / - 0.41 vs 2.7 + / - 0.3 AUs ; p < 0.001 ) were maintained compared with admission values.	were maintained	improvements in PaO2 / FIO2	compared with admission values	Six months after discharge	1	1		
 28706	I was the Department of Transportation 's assistant commissioner under Mayor Ed Koch , who , buoyed by a visit to Beijing , where he saw bike lanes used by tens of thousands , envisioned a network of physically separated bikeways up and down Manhattan .	is	Ed Koch	Mayor	1	1			
32421967	Among the autoimmune diseases , the most common serious disease is the type 1 diabetes ( T1D ).	is	the most common serious disease	the type	Among the autoimmune diseases	1	1		
 38422	In the 1990 's , the region 's severe economic downturn and a cutback in state government employment have cost Trenton more than 4,000 jobs , pushed unemployment over 13 percent , and left even more people in poverty .	have cost Trenton QUANT_O_1 jobs In	the region 's severe economic downturn	the 1990 's	1	1			
17321194	The identification of novel survival pathways and effector molecules that drive androgen independent growth is necessary to develop effective therapies for advanced prostate cancers.	drive	novel survival pathways	androgen independent growth	1	1			
 31842	Catcher John Flaherty -- in the lineup because of his success catching Contreras -- went to the mound with the infielders , a tactic that worked after Freeman 's homer last week .	be catching	his success	Contreras	1	1			
 25170	The article also misstated the composition of a proposed committee of Exxon directors to study environmental problems .	misstated	The article	the composition of a proposed committee of Exxon directors to study environmental problems	1	1			
10647626	In conjunction with family history , gene tests are intended to improve individual cancer risk assessment.	are intended	gene tests	to improve individual cancer risk assessment	In conjunction with family history	1	1		
 35613	Wai Tuen Ngai , the daughter of Mr. and Mrs. Fong Fai Ngai of New York , was married last evening to Curtis Luke Mo , the son of Dr. and Mrs. Luke Mo of Blacksburg , Va. .	is	Wai Tuen Ngai	the daughter of Mr. Fong Fai Ngai of New York	1	1			
 13892	There is widespread speculation among gambling analysts , Sullivan County officials and some dissident Mohawks that Arthur M. Goldberg , chief executive of Park Place , is intent on delaying and derailing a Sullivan County casino to protect his Atlantic City casinos , which generate 30 percent of the company 's profits .	be protect	a Sullivan County casino	his Atlantic City casinos	1	1			
 34388	Niclas Andersson , a 23-year-old Swede who was not even invited to training camp , has teamed with another rookie , Todd Bertuzzi , and the veteran center Aleksandr Semak to give the Islanders a third line with a little punch .	is	Aleksandr Semak	the veteran center	1	1			
  9498	M2+CDs rose 3.0 percent in the April-June period .	rose	M2 + CDs	3.0 percent in the April-June period	1	1			
    66	Nevertheless , it is hard to imagine that the Russians could thereby gain any decisive advantage , because our strategic weapons and those of our allies are unconstrained by this agreement , as are battlefield and airborne nuclear weapons .	are unconstrained by	those of our allies	this agreement	1	1			
28509852	In this review , we focus on the evidence regarding the use of antibiotic therapies administered through the respiratory system via inhalation , nebulization or aerosolization , specifically in patients with chronic respiratory diseases that include CF , non-CF bronchiectasis and NTM.	include	chronic respiratory diseases	CF	1	1			
3682138	Pulmonary insufficiency and cardiac failure were the predominant causes of death in 17 of 22 infants in the first two years after the onset of CRF ; four of eight deaths that occurred beyond two years were caused by airway - and ventilator - related accidents.	were caused	four of eight deaths	by airway - and ventilator - related accidents	1	1			
16898876	A considerable body of outcome data has been generated from Australia in this post-Diabetes Control and Complications Trial era relating to incidence , metabolic control , growth , hypoglycaemia , microvascular and macrovascular complications , cognition , behaviour and quality of life.	relating	this post-Diabetes Control era	to metabolic control	1	1			
 19618	The fair will be open to the public on Saturday and next Sunday .	be open to	The fair	the public	1	1			
 33159	Darwin came into residence in Cambridge on 26 January 1828 , and matriculated at the University 's Senate House on 26 February .	matriculated	Darwin	at the University 's Senate House	in Cambridge	on 26 February 1828	1	1	
  1441	For shipments of desktops with Windows systems , 44 percent had Windows 98 , 33 percent had Windows 95 , 22 percent had either Windows NT Workstation or Windows 2000 Professional , and 1 percent had Microsoft 's most recent offering to the home market , Windows Me , which was released last year .	had Microsoft 's most recent offering to	QUANT_S_1	the home market	1	1			
 37620	MIRACLES ON 104TH STREET , '' a free indoor and outdoor festival with music , a fashion show , gallery tours , crafts workshops , refreshments and park walks , tomorrow , noon to 5 p.m. , rain or shine , on East 104th Street , between Fifth and Madison Avenues .	walks tomorrow on	a free indoor festival with refreshments	East 104th Street	1	1			
